scenario_id,foundation,normalized_character_edit_rate,foundation_n
S01,Care/Harm,0.35062611806797855,66
S01,Care/Harm,0.5595432300163132,66
S01,Care/Harm,0.37989556135770236,66
S01,Care/Harm,0.08695652173913043,66
S01,Care/Harm,0.376984126984127,66
S01,Care/Harm,0.289532293986637,66
S02,Care/Harm,0.45930232558139533,66
S02,Care/Harm,0.5965811965811966,66
S02,Care/Harm,0.3949801849405548,66
S02,Care/Harm,0.012658227848101266,66
S02,Care/Harm,0.39849624060150374,66
S02,Care/Harm,0.33985330073349634,66
S03,Care/Harm,0.38461538461538464,66
S03,Care/Harm,0.3176470588235294,66
S03,Care/Harm,0.32189349112426036,66
S03,Care/Harm,0.2675862068965517,66
S03,Care/Harm,0.5559006211180124,66
S03,Care/Harm,0.5210420841683366,66
S04,Care/Harm,0.45266781411359724,66
S04,Care/Harm,0.5121951219512195,66
S04,Care/Harm,0.2847411444141689,66
S04,Care/Harm,0.23792486583184258,66
S04,Care/Harm,0.6526717557251909,66
S04,Care/Harm,0.6118251928020566,66
S05,Care/Harm,0.44212218649517687,66
S05,Care/Harm,0.5179558011049724,66
S05,Care/Harm,0.28773072747014117,66
S05,Care/Harm,0.23065693430656933,66
S05,Care/Harm,0.5987261146496815,66
S05,Care/Harm,0.6035242290748899,66
S06,Loyalty/Betrayal,0.2864583333333333,60
S06,Loyalty/Betrayal,0.5442404006677797,60
S06,Loyalty/Betrayal,0.21216041397153945,60
S06,Loyalty/Betrayal,0.26066350710900477,60
S06,Loyalty/Betrayal,0.6573426573426573,60
S06,Loyalty/Betrayal,0.65311004784689,60
S07,Loyalty/Betrayal,0.37750385208012327,60
S07,Loyalty/Betrayal,0.5007052186177715,60
S07,Loyalty/Betrayal,0.39601769911504425,60
S07,Loyalty/Betrayal,0.38992042440318303,60
S07,Loyalty/Betrayal,0.711038961038961,60
S07,Loyalty/Betrayal,0.6397228637413395,60
S08,Loyalty/Betrayal,0.3111455108359133,60
S08,Loyalty/Betrayal,0.4789325842696629,60
S08,Loyalty/Betrayal,0.23493975903614459,60
S08,Loyalty/Betrayal,0.3985611510791367,60
S08,Loyalty/Betrayal,0.6560509554140127,60
S08,Loyalty/Betrayal,0.6470588235294118,60
S09,Loyalty/Betrayal,0.3238938053097345,60
S09,Loyalty/Betrayal,0.558599695585997,60
S09,Loyalty/Betrayal,0.17427884615384615,60
S09,Loyalty/Betrayal,0.47806354009077157,60
S09,Loyalty/Betrayal,0.6273062730627307,60
S09,Loyalty/Betrayal,0.6762589928057554,60
S10,Loyalty/Betrayal,0.34050179211469533,60
S10,Loyalty/Betrayal,0.6187050359712231,60
S10,Loyalty/Betrayal,0.16183574879227053,60
S10,Loyalty/Betrayal,0.41750358680057387,60
S10,Loyalty/Betrayal,0.7024221453287197,60
S10,Loyalty/Betrayal,0.7102137767220903,60
S11,Authority/Subversion,0.47723935389133626,60
S11,Authority/Subversion,0.4616419919246299,60
S11,Authority/Subversion,0.2804123711340206,60
S11,Authority/Subversion,0.4167794316644114,60
S11,Authority/Subversion,0.7138461538461538,60
S11,Authority/Subversion,0.6096491228070176,60
S12,Authority/Subversion,0.26443768996960487,60
S12,Authority/Subversion,0.5282485875706214,60
S12,Authority/Subversion,0.2747126436781609,60
S12,Authority/Subversion,0.45919778699861685,60
S12,Authority/Subversion,0.6374622356495468,60
S12,Authority/Subversion,0.75564681724846,60
S13,Authority/Subversion,0.4511834319526627,60
S13,Authority/Subversion,0.5649072753209701,60
S13,Authority/Subversion,0.2395005675368899,60
S13,Authority/Subversion,0.5421836228287841,60
S13,Authority/Subversion,0.44904458598726116,60
S13,Authority/Subversion,0.8007380073800738,60
S14,Authority/Subversion,0.32599724896836313,60
S14,Authority/Subversion,0.4823815309842041,60
S14,Authority/Subversion,0.1912087912087912,60
S14,Authority/Subversion,0.5843137254901961,60
S14,Authority/Subversion,0.6268656716417911,60
S14,Authority/Subversion,0.7581395348837209,60
S15,Authority/Subversion,0.43278688524590164,60
S15,Authority/Subversion,0.5609756097560976,60
S15,Authority/Subversion,0.11837655016910936,60
S15,Authority/Subversion,0.556420233463035,60
S15,Authority/Subversion,0.6253687315634219,60
S15,Authority/Subversion,0.7780678851174935,60
S16,Fairness/Cheating,0.31345565749235477,60
S16,Fairness/Cheating,0.5315315315315315,60
S16,Fairness/Cheating,0.1468459152016546,60
S16,Fairness/Cheating,0.5249266862170088,60
S16,Fairness/Cheating,0.4984709480122324,60
S16,Fairness/Cheating,0.7735849056603774,60
S17,Fairness/Cheating,0.5526695526695526,60
S17,Fairness/Cheating,0.5546666666666666,60
S17,Fairness/Cheating,0.11192468619246862,60
S17,Fairness/Cheating,0.6326002587322122,60
S17,Fairness/Cheating,0.607773851590106,60
S17,Fairness/Cheating,0.7601156069364162,60
S18,Fairness/Cheating,0.5375,60
S18,Fairness/Cheating,0.5631720430107527,60
S18,Fairness/Cheating,0.22857142857142856,60
S18,Fairness/Cheating,0.6319526627218935,60
S18,Fairness/Cheating,0.5015479876160991,60
S18,Fairness/Cheating,0.7342192691029901,60
