scenario_id,Hindi,Bengali,Tamil,Spanish,Japanese,Arabic
S01,0.35062611806797855,0.5595432300163132,0.37989556135770236,0.08695652173913043,0.376984126984127,0.289532293986637
S02,0.45930232558139533,0.5965811965811966,0.3949801849405548,0.012658227848101266,0.39849624060150374,0.33985330073349634
S03,0.38461538461538464,0.3176470588235294,0.32189349112426036,0.2675862068965517,0.5559006211180124,0.5210420841683366
S04,0.45266781411359724,0.5121951219512195,0.2847411444141689,0.23792486583184258,0.6526717557251909,0.6118251928020566
S05,0.44212218649517687,0.5179558011049724,0.28773072747014117,0.23065693430656933,0.5987261146496815,0.6035242290748899
S06,0.2864583333333333,0.5442404006677797,0.21216041397153945,0.26066350710900477,0.6573426573426573,0.65311004784689
S07,0.37750385208012327,0.5007052186177715,0.39601769911504425,0.38992042440318303,0.711038961038961,0.6397228637413395
S08,0.3111455108359133,0.4789325842696629,0.23493975903614459,0.3985611510791367,0.6560509554140127,0.6470588235294118
S09,0.3238938053097345,0.558599695585997,0.17427884615384615,0.47806354009077157,0.6273062730627307,0.6762589928057554
S10,0.34050179211469533,0.6187050359712231,0.16183574879227053,0.41750358680057387,0.7024221453287197,0.7102137767220903
S11,0.47723935389133626,0.4616419919246299,0.2804123711340206,0.4167794316644114,0.7138461538461538,0.6096491228070176
S12,0.26443768996960487,0.5282485875706214,0.2747126436781609,0.45919778699861685,0.6374622356495468,0.75564681724846
S13,0.4511834319526627,0.5649072753209701,0.2395005675368899,0.5421836228287841,0.44904458598726116,0.8007380073800738
S14,0.32599724896836313,0.4823815309842041,0.1912087912087912,0.5843137254901961,0.6268656716417911,0.7581395348837209
S15,0.43278688524590164,0.5609756097560976,0.11837655016910936,0.556420233463035,0.6253687315634219,0.7780678851174935
S16,0.31345565749235477,0.5315315315315315,0.1468459152016546,0.5249266862170088,0.4984709480122324,0.7735849056603774
S17,0.5526695526695526,0.5546666666666666,0.11192468619246862,0.6326002587322122,0.607773851590106,0.7601156069364162
S18,0.5375,0.5631720430107527,0.22857142857142856,0.6319526627218935,0.5015479876160991,0.7342192691029901
S19,0.32401315789473684,0.5309859154929577,0.1021978021978022,0.5468509984639017,0.5480427046263345,0.754874651810585
S20,0.297029702970297,0.46628407460545196,0.07674144037780402,0.5884892086330935,0.49645390070921985,0.7662337662337663
S21,0.2754491017964072,0.5973053892215568,0.3350582147477361,0.5496062992125984,0.5822784810126582,0.7987421383647799
S22,0.3190921228304406,0.5141643059490085,0.1345496009122007,0.5712383488681758,0.5567375886524822,0.8011869436201781
S23,0.35724331926863573,0.6342780026990553,0.10476190476190476,0.6187150837988827,0.5607142857142857,0.7636363636363637
S24,0.34829931972789113,0.6118598382749326,0.0970231532524807,0.6241610738255033,0.6720257234726688,0.7738853503184714
S25,0.5371577574967406,0.5597014925373134,0.08919722497522299,0.6985854189336235,0.5761589403973509,0.8084507042253521
S26,0.5849462365591398,0.48,0.4723926380368098,0.4676258992805755,0.5,0.6708860759493671
S27,0.6547619047619048,0.7303370786516854,0.6309523809523809,0.5802469135802469,0.5769230769230769,0.5507246376811594
S28,0.5066666666666667,0.7166666666666667,0.4883720930232558,0.4838709677419355,0.88,0.7068965517241379
S29,0.45588235294117646,0.6031746031746031,0.45714285714285713,0.463768115942029,0.3103448275862069,0.4358974358974359
S30,0.6091954022988506,0.65625,0.5641025641025641,0.4266666666666667,0.34782608695652173,0.5357142857142857
S31,0.46017699115044247,0.4578313253012048,0.3488372093023256,0.5056179775280899,0.6153846153846154,0.673469387755102
S32,0.6170212765957447,0.6708860759493671,0.691358024691358,0.654320987654321,0.5666666666666667,0.7674418604651163
S33,0.7362637362637363,0.4909090909090909,0.5303030303030303,0.39285714285714285,0.5263157894736842,0.38
S34,0.42857142857142855,0.6901408450704225,0.6470588235294118,0.7571428571428571,0.5,0.5961538461538461
S35,0.5454545454545454,0.6268656716417911,0.4943820224719101,0.6,0.5416666666666666,0.5573770491803278
S36,0.6626506024096386,0.44776119402985076,0.44155844155844154,0.6404494382022472,0.68,0.5
S37,0.5957446808510638,0.509090909090909,0.5172413793103449,0.5394736842105263,0.5238095238095238,0.2682926829268293
S38,0.6493506493506493,0.45901639344262296,0.5740740740740741,0.65,0.5833333333333334,0.5370370370370371
S39,0.44285714285714284,0.5303030303030303,0.3684210526315789,0.18309859154929578,0.75,0.4318181818181818
S40,0.4117647058823529,0.41379310344827586,0.4533333333333333,0.5641025641025641,0.7586206896551724,0.5769230769230769
S41,0.5700934579439252,0.3972602739726027,0.4606741573033708,0.5473684210526316,0.6086956521739131,0.3148148148148148
S42,0.5061728395061729,0.36923076923076925,0.5949367088607594,0.7341772151898734,0.6521739130434783,0.58
S43,0.4819277108433735,0.5932203389830508,0.417910447761194,0.40298507462686567,0.47368421052631576,0.6122448979591837
S44,0.6571428571428571,0.7213114754098361,0.7101449275362319,0.7142857142857143,0.43478260869565216,0.5306122448979592
S45,0.632183908045977,0.7638888888888888,0.6470588235294118,0.5416666666666666,0.5416666666666666,0.46808510638297873
S46,0.5362318840579711,0.43333333333333335,0.5714285714285714,0.6557377049180327,0.7142857142857143,0.4444444444444444
S47,0.4111111111111111,0.6724137931034483,0.6779661016949152,0.6451612903225806,0.7619047619047619,0.675
S48,0.5,0.5245901639344263,0.4,0.7258064516129032,0.7,0.7317073170731707
S49,0.3010752688172043,0.6379310344827587,0.639344262295082,0.5686274509803921,0.5555555555555556,0.4583333333333333
S50,0.5052631578947369,0.5,0.4262295081967213,0.5797101449275363,0.5652173913043478,0.5471698113207547
