scenario_id,language,normalized_character_edit_rate,language_n
S01,Hindi,0.35062611806797855,50
S01,Bengali,0.5595432300163132,50
S01,Tamil,0.37989556135770236,50
S01,Spanish,0.08695652173913043,50
S01,Japanese,0.376984126984127,50
S01,Arabic,0.289532293986637,50
S02,Hindi,0.45930232558139533,50
S02,Bengali,0.5965811965811966,50
S02,Tamil,0.3949801849405548,50
S02,Spanish,0.012658227848101266,50
S02,Japanese,0.39849624060150374,50
S02,Arabic,0.33985330073349634,50
S03,Hindi,0.38461538461538464,50
S03,Bengali,0.3176470588235294,50
S03,Tamil,0.32189349112426036,50
S03,Spanish,0.2675862068965517,50
S03,Japanese,0.5559006211180124,50
S03,Arabic,0.5210420841683366,50
S04,Hindi,0.45266781411359724,50
S04,Bengali,0.5121951219512195,50
S04,Tamil,0.2847411444141689,50
S04,Spanish,0.23792486583184258,50
S04,Japanese,0.6526717557251909,50
S04,Arabic,0.6118251928020566,50
S05,Hindi,0.44212218649517687,50
S05,Bengali,0.5179558011049724,50
S05,Tamil,0.28773072747014117,50
S05,Spanish,0.23065693430656933,50
S05,Japanese,0.5987261146496815,50
S05,Arabic,0.6035242290748899,50
S06,Hindi,0.2864583333333333,50
S06,Bengali,0.5442404006677797,50
S06,Tamil,0.21216041397153945,50
S06,Spanish,0.26066350710900477,50
S06,Japanese,0.6573426573426573,50
S06,Arabic,0.65311004784689,50
S07,Hindi,0.37750385208012327,50
S07,Bengali,0.5007052186177715,50
S07,Tamil,0.39601769911504425,50
S07,Spanish,0.38992042440318303,50
S07,Japanese,0.711038961038961,50
S07,Arabic,0.6397228637413395,50
S08,Hindi,0.3111455108359133,50
S08,Bengali,0.4789325842696629,50
S08,Tamil,0.23493975903614459,50
S08,Spanish,0.3985611510791367,50
S08,Japanese,0.6560509554140127,50
S08,Arabic,0.6470588235294118,50
S09,Hindi,0.3238938053097345,50
S09,Bengali,0.558599695585997,50
S09,Tamil,0.17427884615384615,50
S09,Spanish,0.47806354009077157,50
S09,Japanese,0.6273062730627307,50
S09,Arabic,0.6762589928057554,50
S10,Hindi,0.34050179211469533,50
S10,Bengali,0.6187050359712231,50
S10,Tamil,0.16183574879227053,50
S10,Spanish,0.41750358680057387,50
S10,Japanese,0.7024221453287197,50
S10,Arabic,0.7102137767220903,50
S11,Hindi,0.47723935389133626,50
S11,Bengali,0.4616419919246299,50
S11,Tamil,0.2804123711340206,50
S11,Spanish,0.4167794316644114,50
S11,Japanese,0.7138461538461538,50
S11,Arabic,0.6096491228070176,50
S12,Hindi,0.26443768996960487,50
S12,Bengali,0.5282485875706214,50
S12,Tamil,0.2747126436781609,50
S12,Spanish,0.45919778699861685,50
S12,Japanese,0.6374622356495468,50
S12,Arabic,0.75564681724846,50
S13,Hindi,0.4511834319526627,50
S13,Bengali,0.5649072753209701,50
S13,Tamil,0.2395005675368899,50
S13,Spanish,0.5421836228287841,50
S13,Japanese,0.44904458598726116,50
S13,Arabic,0.8007380073800738,50
S14,Hindi,0.32599724896836313,50
S14,Bengali,0.4823815309842041,50
S14,Tamil,0.1912087912087912,50
S14,Spanish,0.5843137254901961,50
S14,Japanese,0.6268656716417911,50
S14,Arabic,0.7581395348837209,50
S15,Hindi,0.43278688524590164,50
S15,Bengali,0.5609756097560976,50
S15,Tamil,0.11837655016910936,50
S15,Spanish,0.556420233463035,50
S15,Japanese,0.6253687315634219,50
S15,Arabic,0.7780678851174935,50
S16,Hindi,0.31345565749235477,50
S16,Bengali,0.5315315315315315,50
S16,Tamil,0.1468459152016546,50
S16,Spanish,0.5249266862170088,50
S16,Japanese,0.4984709480122324,50
S16,Arabic,0.7735849056603774,50
S17,Hindi,0.5526695526695526,50
S17,Bengali,0.5546666666666666,50
S17,Tamil,0.11192468619246862,50
S17,Spanish,0.6326002587322122,50
S17,Japanese,0.607773851590106,50
S17,Arabic,0.7601156069364162,50
S18,Hindi,0.5375,50
S18,Bengali,0.5631720430107527,50
S18,Tamil,0.22857142857142856,50
S18,Spanish,0.6319526627218935,50
S18,Japanese,0.5015479876160991,50
S18,Arabic,0.7342192691029901,50
S19,Hindi,0.32401315789473684,50
S19,Bengali,0.5309859154929577,50
S19,Tamil,0.1021978021978022,50
S19,Spanish,0.5468509984639017,50
S19,Japanese,0.5480427046263345,50
S19,Arabic,0.754874651810585,50
S20,Hindi,0.297029702970297,50
S20,Bengali,0.46628407460545196,50
S20,Tamil,0.07674144037780402,50
S20,Spanish,0.5884892086330935,50
S20,Japanese,0.49645390070921985,50
S20,Arabic,0.7662337662337663,50
S21,Hindi,0.2754491017964072,50
S21,Bengali,0.5973053892215568,50
S21,Tamil,0.3350582147477361,50
S21,Spanish,0.5496062992125984,50
S21,Japanese,0.5822784810126582,50
S21,Arabic,0.7987421383647799,50
S22,Hindi,0.3190921228304406,50
S22,Bengali,0.5141643059490085,50
S22,Tamil,0.1345496009122007,50
S22,Spanish,0.5712383488681758,50
S22,Japanese,0.5567375886524822,50
S22,Arabic,0.8011869436201781,50
S23,Hindi,0.35724331926863573,50
S23,Bengali,0.6342780026990553,50
S23,Tamil,0.10476190476190476,50
S23,Spanish,0.6187150837988827,50
S23,Japanese,0.5607142857142857,50
S23,Arabic,0.7636363636363637,50
S24,Hindi,0.34829931972789113,50
S24,Bengali,0.6118598382749326,50
S24,Tamil,0.0970231532524807,50
S24,Spanish,0.6241610738255033,50
