file,purpose,rows,bytes,sha256,generated_by,input_files,status,canonical_or_legacy
results/processed/final_evidence_lock/FINAL_CLAIM_EVIDENCE_MATRIX.md,"methods, interpretation, or reproducibility documentation",,6657,b41548dd966d9029158e422d2770233f638d0eaecf0534f5f683aa2fe7cb38e1,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/FINAL_EVIDENCE_INPUT_INVENTORY.md,"methods, interpretation, or reproducibility documentation",,9024,0a49f1c850dbaa28617b03927c971392c22fa1dbf442c5d93566b227b636c43f,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/FINAL_EVIDENCE_LOCK_BLOCKERS.md,failed-gate record and corrective action,,986,cddcac0f955fa661d4092329653654a75c8fae2a4ea40d444f8df4c11b31ebb0,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,active_blocker,canonical_status_document
results/processed/final_evidence_lock/FINAL_EVIDENCE_LOCK_README.md,"methods, interpretation, or reproducibility documentation",,2164,01cfdc025b44cb5b6e1d715424456321f88ccd0d574859002f9d1438a632c73f,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/HEADLINE_CLASSIFICATION_RULES.md,"methods, interpretation, or reproducibility documentation",,1284,5a1f21ca41e14cb8405027e7be7fcd21f7472ff457b440cf6671b0092c5a2cad,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/PAPER_INTEGRATION_DECISIONS.md,"methods, interpretation, or reproducibility documentation",,843,dc88e4d2a2479a5a79ca2d0fbab60e5dfada86f9f9071dde968950e75cc2d8eb,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/PAPER_READY_STATISTICAL_RESULTS.md,"methods, interpretation, or reproducibility documentation",,12288,829fd53e95183107f483593235f1e533418a274991b6797ed138484b06181f78,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/QUALITATIVE_HUMAN_PROVENANCE_AUDIT.md,qualitative provenance audit,,1227,d8c20057d54fcb306a501a8884bd02ef028f86b7bcacb7a55eddc02c13171cca,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical_status_document
results/processed/final_evidence_lock/QUALITATIVE_RESULTS_LOCK.md,"methods, interpretation, or reproducibility documentation",,803,c423bed247e698e076f86c86befcc740ba4b981c44374f7bc4e09e60b3d65748,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
results/processed/final_evidence_lock/QUANTITATIVE_SENSITIVITY_LOCK.md,"methods, interpretation, or reproducibility documentation",,2354,139c42a38e19051a14523035f6b068f85250f7b198473aa84e6230d8798823c3,scripts/final_evidence_lock/run_final_evidence_lock.ts,see FINAL_EVIDENCE_INPUT_INVENTORY.md,generated,canonical
