analysis_version,effect_type,language,model_key,mft_foundation,mean_diff,median_diff,sd_diff,se_diff,t_statistic,ci_lower,ci_upper,p_value_ttest,cohens_d,n,positive_n,negative_n,zero_n,nonzero_n,tied_absolute_rank_groups,w_plus,w_minus,w_statistic,p_value_wilcoxon,wilcoxon_method,wilcoxon_exact,wilcoxon_iterations,wilcoxon_seed,q_t_primary_105,q_w_primary_105,q_t_effect_35,q_w_effect_35,primary_correction_family,supplementary_correction_family,t_primary_q_lt_05,t_primary_q_lt_10,t_primary_suggestive_05_to_10,wilcoxon_primary_q_lt_05,wilcoxon_primary_q_lt_10,wilcoxon_primary_suggestive_05_to_10,wilcoxon_effect_q_lt_05,wilcoxon_effect_q_lt_10,wilcoxon_effect_suggestive_05_to_10
v1_original_intended,language,hi,pooled_primary_models,Care/Harm,-0.12121212121212122,0,0.5452966943311548,0.09492397034955809,-1.2769390151481954,-0.3145659215107343,0.07214167908649188,0.21081224485134786,-0.2222865505553752,33,3,7,23,10,1,16.5,38.5,16.5,0.34375,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.39736937667240885,0.5949746408770161,0.4120867609936092,0.5855305989583334,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,bn,pooled_primary_models,Care/Harm,-0.42424242424242425,0,1.4148830126176297,0.24629951828801303,-1.7224655053784221,-0.9259381255213877,0.07745327703653909,0.09463864501425778,-0.29984275764082213,33,6,11,16,17,2,46,107,46,0.1472930908203125,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.24597406779403524,0.37721401307641006,0.2547963519614633,0.39655832143930286,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,ta,pooled_primary_models,Care/Harm,-0.5757575757575758,0,1.541717853368099,0.26837863005936896,-2.1453182603630196,-1.122426955997592,-0.0290881955175597,0.03961774250566452,-0.37345197404294994,33,4,12,17,16,3,32,104,32,0.06158447265625,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.12999571759671172,0.2020740509033203,0.11555174897485486,0.1959505948153409,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,es,pooled_primary_models,Care/Harm,-0.24242424242424243,0,1.392621247645583,0.2424242424242425,-0.9999999999999998,-0.7362262650811863,0.2513777802327014,0.32481271365109743,-0.1740776559556978,33,5,6,22,11,2,25.5,40.5,25.5,0.544921875,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.4748070658569513,0.7542017886513158,0.4558147832226733,0.762890625,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,ja,pooled_primary_models,Care/Harm,-0.2727272727272727,0,1.4635728388247216,0.2547753291030339,-1.0704618602100946,-0.7916876356682101,0.24623309021366468,0.29241941272696925,-0.18634349141534917,33,7,8,18,15,2,47,73,47,0.48486328125,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.4622039229650408,0.7378354279891305,0.4558147832226733,0.7378354279891305,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,ar,pooled_primary_models,Care/Harm,-0.21212121212121213,0,1.408846508619191,0.24524869782179762,-0.8649228885013018,-0.7116764621545513,0.28743403791212707,0.39351902954637863,-0.15056374901273803,33,6,6,21,12,2,33,45,33,0.6728515625,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.5366168584723345,0.8722149884259259,0.5297371551585865,0.8722149884259259,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,language,all,pooled_primary_models,Care/Harm,-0.30808080808080807,0,1.329491851148172,0.09448287168457896,-3.2607053806461677,-0.4944084983810661,-0.12175311778055004,0.0013095077150695467,-0.2317282409927855,198,31,50,117,81,5,1129.5,2191.5,1129.5,0.009067876086897396,exact_two_sided_sign_permutation_dynamic_programming,true,,,0.027981386907143618,0.06328582763671875,0.015277590009144712,0.0469970703125,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),true,true,false,false,true,true,true,true,false
v1_original_intended,framing,hi,pooled_primary_models,Care/Harm,0.030303030303030304,0,0.7282190812544191,0.12676667068698114,0.23904572186687875,-0.22791222805868136,0.28851828866474194,0.812594533905306,0.04161251892882395,33,6,5,22,11,2,35.5,30.5,30.5,0.96484375,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.8710952105535785,1,0.8887752714589284,1,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,framing,bn,pooled_primary_models,Care/Harm,-0.15151515151515152,0,0.9394550322265336,0.16353812988577954,-0.9264821092241591,-0.48463142120657066,0.18160111817626765,0.36113071567725696,-0.16127983385863243,33,6,8,19,14,1,42,63,42,0.6334228515625,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.5055830019481597,0.8313674926757812,0.46813240921125904,0.7644758553340517,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
v1_original_intended,framing,ta,pooled_primary_models,Care/Harm,-0.30303030303030304,0,1.1854547778397244,0.20636118896782177,-1.4684461964287046,-0.7233742896348869,0.1173136835742809,0.15174526789651233,-0.25562367177136913,33,3,10,20,13,2,28.5,62.5,28.5,0.22705078125,exact_two_sided_sign_permutation_enumerated_by_dynamic_programming,true,,,0.3319427735236207,0.48653738839285715,0.26555421881889657,0.37841796875,105 tests within analysis version (3 effects x 7 language levels x 5 foundations),35 tests within analysis version and effect type (7 language levels x 5 foundations),false,false,false,false,false,false,false,false,false
