analysis_version,effect_type,language,model_key,mft_foundation,scenario_clusters,paired_observations,bootstrap_iterations,bootstrap_seed,bootstrap_mean,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_interval_crosses_zero,proportion_above_zero,proportion_below_zero
v1_original_intended,language,hi,pooled_primary_models,Care/Harm,11,33,10000,20260716,-0.12282424242421777,-0.36363636363636365,0.06060606060606061,true,0.092,0.908
v1_original_intended,language,bn,pooled_primary_models,Care/Harm,11,33,10000,20260717,-0.42568181818181283,-1.2424242424242424,0.15151515151515152,true,0.1049,0.8951
v1_original_intended,language,ta,pooled_primary_models,Care/Harm,11,33,10000,20260718,-0.5690424242423461,-1.393939393939394,0.030303030303030304,true,0.0322,0.9678
v1_original_intended,language,es,pooled_primary_models,Care/Harm,11,33,10000,20260719,-0.24630909090911488,-1.0606060606060606,0.24242424242424243,true,0.3275,0.6725
v1_original_intended,language,ja,pooled_primary_models,Care/Harm,11,33,10000,20260720,-0.2739484848485039,-1.121212121212121,0.3333333333333333,true,0.2574,0.7426
v1_original_intended,language,ar,pooled_primary_models,Care/Harm,11,33,10000,20260721,-0.2106727272727288,-1.0606060606060606,0.3333333333333333,true,0.3298,0.6702
v1_original_intended,language,all,pooled_primary_models,Care/Harm,11,198,10000,20260722,-0.31032979797979704,-0.9797979797979798,0.14646464646464646,true,0.1548,0.8452
v1_original_intended,framing,hi,pooled_primary_models,Care/Harm,11,33,10000,20260723,0.029787878787879207,-0.30303030303030304,0.3939393939393939,true,0.5208,0.4792
v1_original_intended,framing,bn,pooled_primary_models,Care/Harm,11,33,10000,20260724,-0.1569030303030289,-0.5454545454545454,0.18181818181818182,true,0.1868,0.8132
v1_original_intended,framing,ta,pooled_primary_models,Care/Harm,11,33,10000,20260725,-0.30093030303027457,-0.6666666666666666,0.030303030303030304,true,0.027,0.973
v1_original_intended,framing,es,pooled_primary_models,Care/Harm,11,33,10000,20260726,-0.33276363636363393,-0.6666666666666666,-0.030303030303030304,false,0.0071,0.9929
v1_original_intended,framing,ja,pooled_primary_models,Care/Harm,11,33,10000,20260727,0.1540636363636342,-0.09090909090909091,0.48484848484848486,true,0.8195,0.1805
v1_original_intended,framing,ar,pooled_primary_models,Care/Harm,11,33,10000,20260728,-0.18123333333333172,-0.45454545454545453,0.09090909090909091,true,0.0721,0.9279
v1_original_intended,framing,all,pooled_primary_models,Care/Harm,11,198,10000,20260729,-0.1312358585858556,-0.23737373737373738,-0.020202020202020204,false,0.0092,0.9908
v1_original_intended,reasoning,hi,pooled_primary_models,Care/Harm,11,33,10000,20260730,0.059303030303029594,-0.15151515151515152,0.24242424242424243,true,0.6966,0.3034
v1_original_intended,reasoning,bn,pooled_primary_models,Care/Harm,11,33,10000,20260731,0.06110909090908975,-0.09090909090909091,0.21212121212121213,true,0.7381,0.2619
v1_original_intended,reasoning,ta,pooled_primary_models,Care/Harm,11,33,10000,20260732,0.15179999999999094,0,0.39469696969695867,true,0.8923,0.1077
v1_original_intended,reasoning,es,pooled_primary_models,Care/Harm,11,33,10000,20260733,-0.18067575757575474,-0.48484848484848486,0.09090909090909091,true,0.0781,0.9219
v1_original_intended,reasoning,ja,pooled_primary_models,Care/Harm,11,33,10000,20260734,0.27260909090907975,0.06060606060606061,0.5151515151515151,false,0.991,0.009
v1_original_intended,reasoning,ar,pooled_primary_models,Care/Harm,11,33,10000,20260735,0.18137272727271647,0.06060606060606061,0.30303030303030304,false,0.9989,0.0011
v1_original_intended,reasoning,all,pooled_primary_models,Care/Harm,11,198,10000,20260736,0.09169040404040164,-0.010101010101010102,0.1919191919191919,true,0.9595,0.0405
v1_original_intended,language,hi,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260737,0.06556333333333336,-0.23333333333333334,0.43333333333333335,true,0.5956,0.4044
v1_original_intended,language,bn,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260738,-0.09948000000000658,-0.26666666666666666,0.06666666666666667,true,0.0711,0.9289
v1_original_intended,language,ta,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260739,-0.43167000000005584,-0.6666666666666666,-0.2,false,0,1
v1_original_intended,language,es,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260740,-0.19961666666668038,-0.4,-0.03333333333333333,false,0,1
v1_original_intended,language,ja,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260741,-0.06658333333333567,-0.36666666666666664,0.3,true,0.2999,0.7001
v1_original_intended,language,ar,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260742,-0.030153333333334656,-0.4,0.36666666666666664,true,0.389,0.611
v1_original_intended,language,all,pooled_primary_models,Loyalty/Betrayal,10,180,10000,20260743,-0.12761055555555412,-0.26666666666666666,0,true,0.021,0.979
v1_original_intended,framing,hi,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260744,-0.1985566666666765,-0.43333333333333335,0.03333333333333333,true,0.0257,0.9743
v1_original_intended,framing,bn,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260745,0.03111333333333362,-0.2,0.26666666666666666,true,0.5421,0.4579
v1_original_intended,framing,ta,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260746,0.3659966666666594,0,0.8333333333333334,true,0.9628,0.0372
v1_original_intended,framing,es,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260747,-0.20125000000000298,-0.6,0.13333333333333333,true,0.1059,0.8941
v1_original_intended,framing,ja,pooled_primary_models,Loyalty/Betrayal,10,30,10000,20260748,0.13347333333333178,-0.36666666666666664,0.8,true,0.6132,0.3868
