runId,mode,status,attemptCount,modelKey,modelString,scenarioId,mft_category,mft_foundation,conditionId,inputLang,reasoningLang,scenarioVersion,taskType,parsedRating,rawOutput,errorNote,cost,createdAt,updatedAt
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.000485,2026-06-19T11:32:30.204Z,2026-06-19T11:49:40.331Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S02,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.0004825,2026-06-19T11:32:30.204Z,2026-06-19T11:49:40.950Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S03,Direct Harm,Care/Harm,en_en,en,en,en,rating,6,6,,0.000555,2026-06-19T11:32:30.204Z,2026-06-19T11:49:43.878Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S04,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.0004925,2026-06-19T11:32:30.204Z,2026-06-19T11:49:44.586Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S05,Direct Harm,Care/Harm,en_en,en,en,en,rating,6,6,,0.0005125,2026-06-19T11:32:30.204Z,2026-06-19T11:49:45.185Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,rating,6,6,,0.00063,2026-06-19T11:32:30.204Z,2026-06-20T07:29:43.268Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S02,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,rating,7,7,,0.0006,2026-06-19T11:32:30.204Z,2026-06-20T07:29:43.962Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S03,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,rating,6,6,,0.000685,2026-06-19T11:32:30.204Z,2026-06-20T07:29:44.678Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S04,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,rating,7,7,,0.00062,2026-06-19T11:32:30.204Z,2026-06-20T07:29:45.299Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S05,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,rating,6,6,,0.00069,2026-06-19T11:32:30.204Z,2026-06-20T07:29:45.944Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,hi_translation_reason_hi,hi,hi,translation,rating,6,6,,0.0006825,2026-06-19T11:32:30.204Z,2026-06-20T07:29:47.798Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S02,Direct Harm,Care/Harm,hi_translation_reason_hi,hi,hi,translation,rating,7,7,,0.0006525,2026-06-19T11:32:30.204Z,2026-06-20T07:29:48.488Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S03,Direct Harm,Care/Harm,hi_translation_reason_hi,hi,hi,translation,rating,6,6,,0.0007375,2026-06-19T11:32:30.204Z,2026-06-20T07:29:49.185Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S04,Direct Harm,Care/Harm,hi_translation_reason_hi,hi,hi,translation,rating,7,7,,0.0006725,2026-06-19T11:32:30.204Z,2026-06-20T07:29:49.873Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S05,Direct Harm,Care/Harm,hi_translation_reason_hi,hi,hi,translation,rating,7,7,,0.0007425,2026-06-19T11:32:30.204Z,2026-06-20T07:29:50.549Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,hi_adapted_reason_en,hi,en,adapted,rating,6,6,,0.000635,2026-06-19T11:32:30.204Z,2026-06-20T07:29:52.159Z
pilot_1781868750204_32zgte,pilot,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S02,Direct Harm,Care/Harm,hi_adapted_reason_en,hi,en,adapted,rating,7,7,,0.000625,2026-06-19T11:32:30.204Z,2026-06-20T07:29:52.767Z
