model,term,coefficient,clustered_se,ci_lower_95,ci_upper_95,p_value,n,scenario_clusters,r_squared
primary_comprehension_score,Intercept,3.6364332985022783,1.1486971806154185,1.2321824682432019,6.040684128761354,0.005090581573978941,720,20,0.07410543035062889
primary_comprehension_score,correct_count_0_4,-0.7600835945663553,0.2713072966153148,-1.327936292518699,-0.1922308966140116,0.01138491764446143,720,20,0.07410543035062889
sensitivity_any_error,Intercept,0.6032258064516125,0.1377044007334746,0.31500718331856903,0.891444429584656,0.0003216131675967902,720,20,0.0617908838233151
sensitivity_any_error,any_comprehension_error,0.7467741935483906,0.3098164648772935,0.0983208801084684,1.3952275069883129,0.02623236043276892,720,20,0.0617908838233151
adjusted_diagnostic,Intercept,3.2735544261341403,0.9381353841009509,1.310014500919272,5.2370943513490085,0.0024535083593245186,720,20,0.2610268892015273
adjusted_diagnostic,C(model_key)[T.claude],-0.060056663586426584,0.15801916498801688,-0.39079457696386116,0.270681249791008,0.7081165476544159,720,20,0.2610268892015273
adjusted_diagnostic,C(model_key)[T.gemini_flash],0.056675458185738,0.18825889249655167,-0.33735493226581253,0.4507058486372885,0.7666456494089066,720,20,0.2610268892015273
adjusted_diagnostic,C(input_language)[T.bn],-0.18346424354432883,0.08716491196520515,-0.3659025009878858,-0.0010259861007718418,0.048848122431487916,720,20,0.2610268892015273
adjusted_diagnostic,C(input_language)[T.es],-0.11666666666666599,0.10487034000972634,-0.3361628109010013,0.10282947756766932,0.279807893312893,720,20,0.2610268892015273
adjusted_diagnostic,C(input_language)[T.hi],-0.2082024231223331,0.17137447680009688,-0.5668933253765744,0.15048847913190827,0.2392879654469013,720,20,0.2610268892015273
adjusted_diagnostic,C(input_language)[T.ja],-0.11662302992966712,0.09522596793241714,-0.31593327141653044,0.08268721155719617,0.23565695624030097,720,20,0.2610268892015273
adjusted_diagnostic,C(input_language)[T.ta],-0.14594242517582953,0.09335536592888229,-0.34133745167307006,0.049452601321410966,0.13448501238347654,720,20,0.2610268892015273
adjusted_diagnostic,C(scenario_version)[T.literal],-0.10146888957338379,0.04915848873182366,-0.20435878896745052,0.0014210098206829253,0.05293381231171362,720,20,0.2610268892015273
adjusted_diagnostic,C(shift_tier_manuscript)[T.Lower-shift],-0.89818201653062,0.22550635476542874,-1.3701722414765962,-0.42619179158464393,0.0007966100552610839,720,20,0.2610268892015273
adjusted_diagnostic,correct_count_0_4,-0.5026182042199155,0.22017487635032187,-0.9634495165975143,-0.04178689184231682,0.03413222521317596,720,20,0.2610268892015273
